327.13,327.13,327.13,327.13,327.13,327.13,0.11,-0.11,0,0.51,0.64,0.37
327.45,326.82,327.16,328.57,328.91,328.16,0.08,-0.08,0,0.34,0.42,0.24
327.67,326.61,327.18,329.52,330.09,328.84,0,-0,0,0.17,0.21,0.12
327.77,326.5,327.18,330,330.69,329.18,0.11,-0.11,0,0.51,0.64,0.37
328.09,326.19,327.21,331.44,332.46,330.21,0.11,-0.11,0,0.51,0.64,0.37
328.41,325.87,327.24,332.87,334.24,331.24,0,-0,0,0.17,0.21,0.12
328.52,325.77,327.24,333.35,334.83,331.58,0,-0,0,0.17,0.21,0.12
328.63,325.67,327.25,333.83,335.43,331.92,0,-0,0,0.17,0.21,0.12
328.73,325.56,327.26,334.3,336.02,332.26,0.11,-0.11,0,0.51,0.64,0.37
329.05,325.25,327.29,335.74,337.8,333.29,0.11,-0.11,0,0.51,0.64,0.37
329.37,324.93,327.31,337.17,339.57,334.31,0.11,-0.11,0,0.51,0.64,0.37
329.69,324.62,327.34,338.61,341.35,335.34,0.11,-0.11,0,0.51,0.64,0.37
330.01,324.3,327.37,340.04,343.13,336.36,0.57,-0.06,-0.4,-0.5,-0.17,0.55
331.61,324.13,326.26,338.63,342.65,337.91,0.53,-0,-0.36,-0.47,-0.16,0.51
333.11,324,325.27,337.33,342.19,339.34,0.5,-0,-0.32,-0.43,-0.16,0.47
334.49,323.89,324.38,336.13,341.75,340.64,0.46,-0,-0.28,-0.39,-0.15,0.42
335.77,323.82,323.6,335.03,341.32,341.82,0.42,-0,-0.25,-0.36,-0.15,0.38
336.94,323.77,322.91,334.02,340.91,342.88,0.38,-0,-0.21,-0.33,-0.14,0.34
338.01,323.76,322.32,333.11,340.51,343.83,0.34,0,-0.18,-0.3,-0.14,0.3
338.96,323.78,321.81,332.28,340.13,344.66,0.31,0,-0.15,-0.27,-0.13,0.26
339.82,323.82,321.39,331.53,339.76,345.37,0.27,0,-0.12,-0.24,-0.13,0.22
340.57,323.89,321.05,330.87,339.41,345.98,0.23,0,-0.09,-0.21,-0.12,0.18
341.22,323.98,320.79,330.29,339.08,346.48,0.2,0,-0.07,-0.18,-0.11,0.14
341.78,324.1,320.6,329.78,338.76,346.88,0.16,0.05,-0,-0.16,-0.11,0.11
342.24,324.24,320.48,329.35,338.45,347.18,0.13,0.06,-0,-0.13,-0.1,0.07
342.61,324.41,320.43,328.98,338.16,347.39,0.1,0.07,0,-0.11,-0.1,0
342.88,324.6,320.44,328.69,337.88,347.5,0.07,0.07,0,-0.08,-0.09,0
